,win_loss_num,win_loss_num,win_pct
,sum,count,
team,,,
DAL,502,846,59.34
PIT,488,846,57.68
NWE,472,846,55.79
MIN,470,846,55.56
DEN,465,845,55.03
MIA,457,832,54.93
BAL,354,655,54.05
GNB,457,846,54.02
SFO,456,846,53.9
RAI,449,846,53.07
KAN,444,846,52.48
IND,301,575,52.35
SEA,355,691,51.37
LAR,430,846,50.83
WAS,429,846,50.71
PHI,428,846,50.59
CAR,195,400,48.75
CHI,411,846,48.58
LAC,407,846,48.11
NYG,400,846,47.28
TEN,399,846,47.16
BUF,388,846,45.86
NOR,375,818,45.84
HOU,131,288,45.49
NYJ,379,846,44.8
CIN,359,804,44.65
JAX,176,400,44.0
ATL,365,832,43.87
CLE,344,798,43.11
ARI,358,846,42.32
DET,348,846,41.13
TAM,267,692,38.58
